disarm_id,name,metatechnique,summary,actortypes,resources_needed,how_found,references,incident_ids,tactic,responsetype,notes,tags,techniques,longname
C00022,Innoculate. Positive campaign to promote feeling of safety,M001 - resilience,Used to counter ability based and fear based attacks,,,2019-11-workshop,,,TA01 Strategic Planning,D04,,narrative,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0006 - Create Master Narratives
T0027 - Adapt existing narratives
T0028 - Create competing narratives
T0022 - Conspiracy narratives
T0023 - Distort facts
T0053 - Twitter trolls amplify and manipulate
T0044 - Seed distortions
",C00022 - Innoculate. Positive campaign to promote feeling of safety
C00006,Charge for social media,M004 - friction,"Include a paid-for privacy option, e.g. pay Facebook for an option of them not collecting your personal information.  There are examples of this not working, e.g. most people don’t use proton mail etc. ",A033 - social media platform owner,,2019-11-workshop,,,TA01 Strategic Planning,D02,,action,"T0007 - Create fake Social Media Profiles / Pages / Groups
T0015 - Create hashtag
T0018 - Paid targeted ads
T0043 - Use SMS/ WhatsApp/ Chat apps
T0053 - Twitter trolls amplify and manipulate
T0054 - Twitter bots amplify
",C00006 - Charge for social media
C00008,Create shared fact-checking database,M006 - scoring,"Share fact-checking resources - tips, responses, countermessages, across respose groups.  ",A007 - factchecker,,"2019-11-workshop
2019-11-search",,"I00049,I00050",TA01 Strategic Planning,D04,,information,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0027 - Adapt existing narratives
T0028 - Create competing narratives
T0006 - Create Master Narratives
T0009 - Create fake experts
T0008 - Create fake or imposter news sites
T0013 - Create fake websites
T0014 - Create funding campaigns
T0021 - Memes 
T0025 - Leak altered documents
T0024 - Create fake videos and images
T0026 - Create fake research
T0056 - Dedicated channels disseminate information pollution
T0051 - Fabricate social media comment
T0044 - Seed distortions
T0045 - Use fake experts",C00008 - Create shared fact-checking database
C00009,Educate high profile influencers on best practices,M001 - resilience,"Find online influencers. Provide training in the mechanisms of disinformation, how to spot campaigns, and/or how to contribute to responses by countermessaging, boosting information sites etc. ","A016 - influencer,A006 - educator",,2019-11-workshop,,,TA02 Objective Planning,D02,,education,"T0010 - Cultivate ignorant agents
T0039 - Bait legitimate influencers
T0044 - Seed distortions
T0042 - Kernel of truth
T0048 - Cow online opinion leaders
T0052 - Tertiary sites amplify news
T0053 - Twitter trolls amplify and manipulate
T0055 - Use hashtag
T0056 - Dedicated channels disseminate information pollution",C00009 - Educate high profile influencers on best practices
C00010,Enhanced privacy regulation for social media,M004 - friction,"Implement stronger privacy standards, to reduce the ability to microtarget community members. ",A020 - policy maker,,2019-11-workshop,,,TA01 Strategic Planning,D02,,regulation,"T0005 - Center of gravity analysis
T0018 - Paid targeted ads",C00010 - Enhanced privacy regulation for social media
C00011,Media literacy. Games to identify fake news,M001 - resilience,"Create and use games to show people the mechanics of disinformation, and how to counter them. ","A006 - educator,A026 - games designer,A024 - developer",,2019-11-workshop,,,TA02 Objective Planning,D02,,education,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0027 - Adapt existing narratives
T0028 - Create competing narratives
T0006 - Create Master Narratives
T0009 - Create fake experts
T0008 - Create fake or imposter news sites
T0013 - Create fake websites
T0021 - Memes 
T0025 - Leak altered documents
T0024 - Create fake videos and images
T0026 - Create fake research
T0056 - Dedicated channels disseminate information pollution
T0051 - Fabricate social media comment
T0044 - Seed distortions
T0045 - Use fake experts",C00011 - Media literacy. Games to identify fake news
C00012,Platform regulation,M007 - metatechnique,"Empower existing regulators to govern social media. Also covers Destroy.  Includes: Include the role of social media in the regulatory framework for media.  The U.S. approach will need to be carefully crafted to protect First Amendment principles, create needed transparency, ensure liability, and impose costs for noncompliance. Includes Create policy that makes social media police disinformation. Includes: Use fraud legislation to clean up social media","A020 - policy maker,A018 - government,A033 - social media platform owner",,"2019-11-workshop, 2019-11-search",Hicks19,,TA01 Strategic Planning,D02,,regulation,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0007 - Create fake Social Media Profiles / Pages / Groups
T0008 - Create fake or imposter news sites
T0009 - Create fake experts
T0013 - Create fake websites
T0014 - Create funding campaigns
T0015 - Create hashtag
T0016 - Clickbait
T0017 - Promote online funding
T0018 - Paid targeted ads
T0021 - Memes
T0022 - Conspiracy narratives
T0024 - Create fake videos and images
T0025 - Leak altered documents
T0026 - Create fake research
T0043 - Use SMS/ WhatsApp/ Chat apps
T0045 - Use fake experts
T0046 - Search Engine Optimization
T0047 - Muzzle social media as a political force
T0048 - Cow online opinion leaders
T0049 - Flooding
T0050 - Cheerleading domestic social media ops
T0051 - Fabricate social media comment
T0052 - Tertiary sites amplify news
T0053 - Twitter trolls amplify and manipulate
T0054 - Twitter bots amplify
T0055 - Use hashtag
T0056 - Dedicated channels disseminate information pollution
T0057 - Organise remote rallies and events
T0061 - Sell merchandising",C00012 - Platform regulation
C00013,Rating framework for news,M006 - scoring,"This is ""strategic innoculation"", raising the standards of what people expect in terms of evidence when consuming news. Example: journalistic ethics, or journalistic licensing body.  Include full transcripts, link source, add items. ",,,2019-11-workshop,,,TA01 Strategic Planning,D02,,information,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0027 - Adapt existing narratives
T0028 - Create competing narratives
T0056 - Dedicated channels disseminate information pollution
T0052 - Tertiary sites amplify news",C00013 - Rating framework for news
C00014,Real-time updates to fact-checking database,M006 - scoring,Update fact-checking databases and resources in real time.  Especially import for time-limited events like natural disasters. ,A007 - factcheckers,,2019-11-workshop,,,TA06 Develop Content,D04,,information,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0027 - Adapt existing narratives
T0028 - Create competing narratives
T0006 - Create Master Narratives
T0009 - Create fake experts
T0008 - Create fake or imposter news sites
T0013 - Create fake websites
T0014 - Create funding campaigns
T0021 - Memes 
T0025 - Leak altered documents
T0024 - Create fake videos and images
T0026 - Create fake research
T0056 - Dedicated channels disseminate information pollution
T0051 - Fabricate social media comment
T0044 - Seed distortions
T0045 - Use fake experts",C00014 - Real-time updates to fact-checking database
C00016,Censorship,M005 - removal,Alter and/or block the publication/dissemination of information controlled by disinformation creators. Not recommended. ,A031 - social media platform administrator,,grugq,Taylor81,,TA01 Strategic Planning,D02,,action,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0002 - Facilitate State Propaganda
T0003 - Leverage Existing Narratives
T0027 - Adapt existing narratives
T0028 - Create competing narratives
T0009 - Create fake experts
T0008 - Create fake or imposter news sites
T0007 - Create fake Social Media Profiles / Pages / Groups
T0013 - Create fake websites
T0014 - Create funding campaign
T0015 - Create hashtag
T0016 - Clickbait 
T0017 - Promote online funding
T0018 - Paid targeted ads
T0022 - Conspiracy narratives
T0021 - Memes 
T0025 - Leak altered documents
T0024 - Create fake videos and images
T0026 - Create fake research
T0044 - Seed distortions
T0045 - Use fake experts
T0043 - Use SMS/WhatsApp/ Chat apps
T0056 - Dedicated channels disseminate information pollution
T0051 - Fabricate social media comment
T0049 - Flooding 
T0052 - Tertiary sites amplify news
T0054 - Twitter bots amplify
T0053 - Twitter trolls amplify and manipulate
T0055 - Use hashtag
T0058 - Legacy web content
T0057 - Organise remote rallies and events
",C00016 - Censorship
