disarm_id,name,metatechnique,summary,actortypes,resources_needed,how_found,references,incidents,tactic,responsetype,notes,techniques,longname
F00001,Analyse aborted / failed campaigns,,Examine failed campaigns. How did they fail? Can we create useful activities that increase these failures? ,,,2019-11-workshop,,,TA01 Strategic Planning,D01,,All,F00001 - Analyse aborted / failed campaigns
F00002,Analyse viral fizzle,,We have no idea what this means.  Is it something to do with the way a viral story spreads? ,,,2019-11-workshop,,,TA01 Strategic Planning,D01,,"T0049 - Flooding
T0052 - Tertiary sites amplify news
T0053 - Twitter trolls amplify and manipulate
T0054 - Twitter bots amplify
T0059 - Play the long game
T0060 - Continue to amplify",F00002 - Analyse viral fizzle
F00003,Exploit counter-intelligence vs bad actors,,,,,2019-11-workshop,,,TA01 Strategic Planning,D01,,"TA06 - Develop Content
TA08 - Pump Priming
TA09 - Exposure

T0019 - Generate information pollution
T0021 - Memes",F00003 - Exploit counter-intelligence vs bad actors
F00004,"Recruit like-minded converts ""people who used to be in-group"" ",,,,,2019-11-workshop,,,TA01 Strategic Planning,D01,,"T0057 - Organise remote rallies and events
T0061 - Sell merchandising (ie. source of identification)

T0010 - Cultivate ignorant agents
T0039 - Bait legitimate influencers","F00004 - Recruit like-minded converts ""people who used to be in-group"" "
F00005,SWOT Analysis of Cognition in Various Groups,,"Strengths, Weaknesses, Opportunities, Threats analysis of groups and audience segments. ",,,2019-11-workshop,,,TA01 Strategic Planning,D01,,All,F00005 - SWOT Analysis of Cognition in Various Groups
F00006,SWOT analysis of tech platforms,,,,,2019-11-workshop,,,TA01 Strategic Planning,D01,,"TA05 - Microtargeting
TA07 - Channel Selection
TA08 - Pump Priming
TA09 - Exposure
TA10 - Go Physical
TA11 - Persistence

T0007 - Create fake Social Media Profiles / Pages / Groups
T0014 - Create funding campaigns
T0010 - Cultivate ignorant agents
T0019 - Generate information pollution
T0021 - Memes",F00006 - SWOT analysis of tech platforms
F00007,Monitor account level activity in social networks,,,,,2019-11-workshop,,,TA02 Objective Planning,D01,,All,F00007 - Monitor account level activity in social networks
F00008,Detect abnormal amplification,,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,"T0052 - Tertiary sites amplify news
T0053 - Twitter trolls amplify and manipulate
T0054 - Twitter bots amplify
T0060 - Continue to amplify",F00008 - Detect abnormal amplification
F00009,Detect abnormal events,,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0007 - Create fake Social Media Profiles / Pages / Groups,F00009 - Detect abnormal events
F00010,Detect abnormal groups,,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0007 - Create fake Social Media Profiles / Pages / Groups,F00010 - Detect abnormal groups
F00011,Detect abnormal pages,,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0007 - Create fake Social Media Profiles / Pages / Groups,F00011 - Detect abnormal pages
F00012,"Detect abnormal profiles, e.g. prolific pages/ groups/ people",,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0007 - Create fake Social Media Profiles / Pages / Groups,"F00012 - Detect abnormal profiles, e.g. prolific pages/ groups/ people"
F00013,Identify fake news sites,,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0008,F00013 - Identify fake news sites
F00014,Trace connections,,for e.g. fake news sites,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0008,F00014 - Trace connections
F00015,Detect anomalies in membership growth patterns,,I include Fake Experts as they may use funding campaigns such as Patreon to fund their operations and so these should be watched.,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,"TA07 - Channel Selection

T0007 - Create fake Social Media Profiles / Pages / Groups
T0009 - Create fake experts
T0015 - Create hashtag
T0045 - Use fake experts
T0057 - Organise remote rallies and events",F00015 - Detect anomalies in membership growth patterns
F00016,Identify fence-sitters,,"Note: In each case, depending on the platform there may be a way to identify a fence-sitter. For example, online polls may have a neutral option or a ""somewhat this-or-that"" option, and may reveal who voted for that to all visitors. This information could be of use to data analysts.

In TA08-11, the engagement level of victims could be identified to detect and respond to increasing engagement.",,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,"TA08 - Pump Priming
TA09 - Exposure
TA10 - Go Physical
TA11 - Persistence

T0010 - Cultivate ignorant agents
T0017 - Promote online funding
T0018 - Paid targeted ads
T0029 - Manipulate online polls
T0039 - Bait legitimate influencers
T0048 - Cow online opinion leaders",F00016 - Identify fence-sitters
F00017,Measure emotional valence,,,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,"T0001 - 5Ds (dismiss, distort, distract, dismay, divide)
T0039 - Bait legitimate influencers
T0053 - Twitter trolls amplify and manipulate",F00017 - Measure emotional valence
F00018,Follow the money,,track funding sources,,,2019-11-workshop,,,TA15 Establish Social Assets,D01,,T0009,F00018 - Follow the money
