disarm_id,name,url,summary,provides_tools,sector,primary_role,secondary_role,primary_subject,secondary_subject,volunteers,region,country,rand_list,credco_list,carnegie_list,twitter_handle,notes,Unnamed: 18
G000001,5Rights,https://5rightsframework.com/,,,,,,,,,,,,,,,,
G000002,AACC (Association des Agences Conseils en Communication),https://www.aacc.fr/,,,,,,,,,Europe,France,,,,,,
G000003,ABT Shield by Edge NPD,https://abtshield.com,"ABT SHIELD technology is an AI-based tool, designed to limit the impact of bots and trolls on readers’ experience and limit the spread of online disinformation. ABT SHIELD is a product designed in close cooperation with publishers, advertisers, academic institutions, think tanks and EU institutions.",Yes,Technology,,,,,,Europe,,,N,Y,,,
G000004,Access Now,https://www.accessnow.org/,"Access Now is dedicated to protecting digital rights through a 24/7 Digital Security Helpline, legal support, advocacy campaigns and cross-sector partnerships, and policy analysis and recommendations. Access Now works on issues related to freedom of expression and has responded to proposals aimed at curbing disinformation online by stressing the need to develop evidence-based solutions that protect online users.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Global,,,N,Y,,,
G000005,Accountability Journalism and Fact-Checking Project (American Press Institute),https://www.americanpressinstitute.org/category/fact-checking-project/,The American Press Institute’s Accountability Journalism and Fact-Checking Project aims to increase and improve fact-checking and other accountability journalism practices.,,Civil Society/NGO,Fact checking,Journalism,,,,North America,USA,,N,Y,,,
G000006,Ad Fontes Media,https://www.adfontesmedia.com/interactive-media-bias-chart-2/,,,,,,,,,,,,,,,,
G000007,Ad Observer (New York University),https://chrome.google.com/webstore/detail/ad-observer/enliecaalhkhhihcmnbjfmmjkljlcinl,Ad Observer is a crowdsourcing Chrome browser extension that will gather ads from a user's Facebook news feed—to enable investigative journalism and research.The project is run by the Online Political Ads Transparency Project at New York University.,Yes,Education/academia,,,,,,North America,USA,,N,Y,,,
G000008,"Advertising Standards Authority (ASA, UK)",https://www.asa.org.uk/,,,,,,,,,,,,,,,,
G000009,AFP Medialab,https://www.afp.com/en/agency/medialab,"The AFP Medialab is a multi-disciplinary team of journalists and engineers. Since the 1st of January 2016, the Medialab has participated in the InVID project (social media video content verification on social networks), funded by the European Union Horizon 2020 framework.",,Media,Fact checking,Journalism,,,,Europe,,,N,Y,,,
G000010,Africa Check,https://africacheck.org/,Africa Check promotes accuracy in public debate and the media in Africa. The goal of their work is to raise the quality of information available to society across the continent.,,Civil Society/NGO,Fact checking,Journalism,,,,Global,,,Y,Y,,,
G000011,Agence France Presse (AFP),https://www.afp.com/en,"AFP is a global news agency that worked with First Draft to implement the CrossCheck Project during the 2017 French presidential elections. The organization has since started its own fact-checking blog and helped set up the Journalism Trust Initiative with Reporters Without Borders, the European Broadcasting Union, and the Global Editors Network. AFP is one of Facebook's Third-Party Fact-Checkers. AFP also runs a Medialab, where it develops innovative tools for verifying content and understanding information flows.",,Media,Fact checking,Journalism,,,,Europe,France,,Y,Y,,,
G000012,Agência Lupa,https://piaui.folha.uol.com.br/lupa,"Agência Lupa is a Brazilian fact-checking organization. A member of the Trust Project, the organization also provides training to students and professionals to contribute to the prevalence of fact-checking techniques and tools.",,Civil Society/NGO,Fact checking,Journalism,,,,South America,Brazil,,Y,Y,,,
G000013,Agência Pública (Truco Project),https://apublica.org/truco-antigo/,Agência Pública is an investigative journalism outfit that conducts fact-checking through its Truco project.,,Media,Fact checking,Journalism,,,,South America,Brazil,,N,Y,,,
G000014,AI Foundation,http://www.aifoundation.com,"Reality Defender is a browser extension that scans every piece of media content appearing in the browser to check for known fakes, and uses AI algorithms to check the content for signs of alterations. Reality Defender also allows for users to report media as fake, which builds their database of known fakes and improves the browser extension’s accuracy.",Yes,Civil Society/NGO,,,,,,North America,USA,,N,Y,,,
G000015,Alethea Group,https://www.aletheagroup.com/,"We protect clients from the threat of disinformation that targets brands, reputations, employee safety, or financial bottom lines through our industry-leading investigation and remediation services.",,Other,Research (primary/secondary),,,,,North America,USA,,N,N,,,
G000016,Alion,,,Yes,,,,,,,,,,,,,,
G000017,Alliance for Europe: Social Media Intelligence Unit,https://www.alliance4europe.eu/digital-intelligence/,"The Social Media Intelligence Unit (SMIU) collects and analyses social media data from across Europe. The platform enables tracking disinformation and hate-speech, aiming to develop a predictive model of its spread.",,Civil Society/NGO,Fact checking,Journalism,,,Y,Europe,Belgium,,N,N,,,
G000018,Alliance for Securing Democracy (German Marshall Fund) (GMF),https://securingdemocracy.gmfus.org/,"Housed at GMF, the Alliance for Securing Democracy convenes policymakers and technical experts to provide analysis and policy recommendations concerning authoritarian interference in democracies. The Alliance for Securing Democracy runs an Authoritarian Interference Tracker and the Hamilton 2.0 interactive dashboard, which provides information on Russian state-funded narratives.",,Civil Society/NGO,Public Policy,Research (primary/secondary),Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000019,Alliance of Democracies,https://www.allianceofdemocracies.org/transatlantic-commission-on-election-integrity/,"The Alliance of Democracies runs the Transatlantic Commission on Election Integrity (TCEI), which convenes individuals from media and government to prevent foreign interference in elections. TCEI advocates for campaigns to adopt its Pledge for Election Integrity, conducts monitoring in countries with upcoming elections, and promotes public policy solutions addressing deepfakes and other emerging technologies that threaten the integrity of elections.",,Civil Society/NGO,Public Policy,,Democracy,Civil Liberties (human rights),,Global,,,N,Y,,,
G000020,American Press Institute (API),https://www.americanpressinstitute.org,"Through its Fact-checking and Accountability Journalism Project, API provides research and training to help journalists and publishers improve their political fact-checking work. In collaboration with the Donald W. Reynolds Journalism Institute,",,Civil Society/NGO,Research (primary/secondary),Journalism,,,,North America,USA,,Y,Y,,,
G000021,American Press Institute: Trusting News project,https://trustingnews.org,"API hosts the Trusting News project, which seeks to build trust in newsrooms through newsroom coaching and research on transparency, consumer news decisions, and social media.",,Civil Society/NGO,Fact checking,Journalism,,,,North America,USA,,N,Y,,,
G000022,Amnesty International,https://www.amnesty.org,,,,,,,,,,,,,,,,
