disarm_id,name,summary,main topic,subtopic,notes
N00001,gargling with bleach will prevent/cure – also appears as satire,,covid19,Preventions and Cures,
N00002,drinking corona beer will prevent/cure – also appears as satire,,covid19,Preventions and Cures,
N00003,taking acetic acid will prevent/cure,,covid19,Preventions and Cures,
N00004,taking steroids will prevent/cure,,covid19,Preventions and Cures,
N00005,taking colloidal silver will cure,,covid19,Preventions and Cures,
N00006,taking MMS (which contains chlorine dioxide) can cure,,covid19,Preventions and Cures,
N00007,using essential oils will prevent,,covid19,Preventions and Cures,
N00008,gargling with salt water will prevent/cure,,covid19,Preventions and Cures,
N00009,gargling with ethanol will prevent/cure,,covid19,Preventions and Cures,
N00010,eating raw garlic will prevent,,covid19,Preventions and Cures,
N00011,garlic will cure,,covid19,Preventions and Cures,
N00012,spraying normal drinking alcohol on body will prevent,,covid19,Preventions and Cures,
N00013,spraying chlorine on body prevents coronavirus,,covid19,Preventions and Cures,
N00014,drinking or washing in sesame oil prevents coronavirus,,covid19,Preventions and Cures,
N00015,using a hand dryer will kill corona virus,,covid19,Preventions and Cures,
N00016,drinking water every 15 minutes will wash virus to the stomach where it will die,,covid19,Preventions and Cures,
N00017,drinking hot water will kill the virus,,covid19,Preventions and Cures,
N00018,avoiding eating ice cream will prevent,,covid19,Preventions and Cures,
N00019,rinsing your nose with saline will prevent,,covid19,Preventions and Cures,
N00020,aspirating boiling water vapor for five minutes deactivates the coronavirus,,covid19,Preventions and Cures,
N00021,having a pneumonia shot will prevent you from getting the disease,,covid19,Preventions and Cures,
N00022,having a flu shot will prevent you from getting the disease,,covid19,Preventions and Cures,
N00023,using cocaine prevents/cures,,covid19,Preventions and Cures,
N00024,Asians are more likely to get Covid 19,,covid19,Preventions and Cures,
N00025,Wearing more than one mask will help prevent the virus,,covid19,Preventions and Cures,
N00026,It is dangerous to receive packages from china,,covid19,Preventions and Cures,
N00027,It is dangerous to eat in a Chinese restaurant (more so than other restaurants),,covid19,Preventions and Cures,
N00028,Cold weather and snow can kill off the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00029,Warmer weather will kill off the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00030,Taking a hot bath prevents COVID-19,,covid19,Preventions and Cures,
N00031,Hand dryers are effective in killing off the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00032,Antibiotics are effective in preventing and treating the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00033,Vinegar is more effective than hand sanitizer,,covid19,Preventions and Cures,
N00034,Gargling with Vinegar prevents covid-19,,covid19,Preventions and Cures,
N00035,Hand sanitizer does not work,,covid19,Preventions and Cures,
N00036,Shuanghuanglian (Chinese medical herb) can prevent,,covid19,Preventions and Cures,
N00037,drinking cow urine and applying cow dung on the body can cure coronavirus,,covid19,Preventions and Cures,
N00038,there is no risk to mass public gatherings as the virus is impossible to contract outdoors,,covid19,Preventions and Cures,
N00039,drinking water every 15 minutes will prevent coronavirus,,covid19,Preventions and Cures,
N00040,Miracle Mineral Supplement cures,,covid19,Preventions and Cures,
N00041,silver-infused toothpaste will kill the virus,,covid19,Preventions and Cures,
N00042,Kenneth Copeland can cure the virus directly from his tv studio,,covid19,Preventions and Cures,
N00043,you have to be with someone for 10 minutes to catch the virus from them,,covid19,Preventions and Cures,
N00044,"taking ibuprofen makes COVID-19 worse, especially in new patients",,covid19,Preventions and Cures,
N00045,reading the Quran will make you immune,,covid19,Preventions and Cures,
N00046,you can kill the virus by holding a blow dryer up to your nose,,covid19,Preventions and Cures,
N00047,Sheep head’s soup is a preventative,,covid19,Preventions and Cures,
N00048,Lemon and bicarbonate kill the virus,,covid19,Preventions and Cures,
N00049,Lemon juice with salt is a cure,,covid19,Preventions and Cures,
N00050,Lemon juice with Chinese mesona is a cure,,covid19,Preventions and Cures,
N00051,Lemon juice with turmeric prevents,,covid19,Preventions and Cures,
N00052,Consuming alcoholic beverages may help reduce the risk of infection by the novel coronavirus,,covid19,Preventions and Cures,
N00053,Coronavirus will be cured after 14 hours of curfew,,covid19,Preventions and Cures,
N00054,Bitter gourd juice can cure coronavirus in two hours,,covid19,Preventions and Cures,
