disarm_id,technique_id
C00022,T0001
C00022,T0002
C00022,T0003
C00022,T0006
C00022,T0027
C00022,T0028
C00022,T0022
C00022,T0023
C00022,T0053
C00022,T0044
C00006,T0007
C00006,T0015
C00006,T0018
C00006,T0043
C00006,T0053
C00006,T0054
C00008,T0001
C00008,T0002
C00008,T0003
C00008,T0027
C00008,T0028
C00008,T0006
C00008,T0009
C00008,T0008
C00008,T0013
C00008,T0014
C00008,T0021
C00008,T0025
C00008,T0024
C00008,T0026
C00008,T0056
C00008,T0051
C00008,T0044
C00008,T0045
C00009,T0010
C00009,T0039
C00009,T0044
C00009,T0042
C00009,T0048
C00009,T0052
C00009,T0053
C00009,T0055
C00009,T0056
C00010,T0005
C00010,T0018
C00011,T0001
C00011,T0002
C00011,T0003
C00011,T0027
C00011,T0028
C00011,T0006
C00011,T0009
C00011,T0008
C00011,T0013
C00011,T0021
C00011,T0025
C00011,T0024
C00011,T0026
C00011,T0056
C00011,T0051
C00011,T0044
C00011,T0045
C00012,T0001
C00012,T0002
C00012,T0003
C00012,T0007
C00012,T0008
C00012,T0009
C00012,T0013
C00012,T0014
C00012,T0015
C00012,T0016
C00012,T0017
C00012,T0018
C00012,T0021
C00012,T0022
C00012,T0024
C00012,T0025
C00012,T0026
C00012,T0043
C00012,T0045
C00012,T0046
C00012,T0047
C00012,T0048
C00012,T0049
C00012,T0050
C00012,T0051
C00012,T0052
C00012,T0053
C00012,T0054
C00012,T0055
C00012,T0056
C00012,T0057
C00012,T0061
C00013,T0001
C00013,T0002
C00013,T0003
C00013,T0027
C00013,T0028
C00013,T0056
C00013,T0052
C00014,T0001
C00014,T0002
C00014,T0003
C00014,T0027
C00014,T0028
C00014,T0006
C00014,T0009
C00014,T0008
C00014,T0013
C00014,T0014
C00014,T0021
C00014,T0025
C00014,T0024
C00014,T0026
C00014,T0056
C00014,T0051
C00014,T0044
C00014,T0045
C00016,T0001
C00016,T0002
C00016,T0003
C00016,T0027
C00016,T0028
C00016,T0009
C00016,T0008
C00016,T0007
C00016,T0013
C00016,T0014
C00016,T0015
C00016,T0016
C00016,T0017
C00016,T0018
C00016,T0022
