disarm_id,technique_id
F00001,All
F00002,T0049
F00002,T0052
F00002,T0053
F00002,T0054
F00002,T0059
F00002,T0060
F00003,TA06
F00003,TA08
F00003,TA09
F00003,T0019
F00003,T0021
F00004,T0057
F00004,T0061
F00004,T0010
F00004,T0039
F00005,All
F00006,TA05
F00006,TA07
F00006,TA08
F00006,TA09
F00006,TA10
F00006,TA11
F00006,T0007
F00006,T0014
F00006,T0010
F00006,T0019
F00006,T0021
F00007,All
F00008,T0052
F00008,T0053
F00008,T0054
F00008,T0060
F00009,T0007
F00010,T0007
F00011,T0007
F00012,T0007
F00013,T0008
F00014,T0008
F00015,TA07
F00015,T0007
F00015,T0009
F00015,T0015
F00015,T0045
F00015,T0057
F00016,TA08
F00016,TA09
F00016,TA10
F00016,TA11
F00016,T0010
F00016,T0017
F00016,T0018
F00016,T0029
F00016,T0039
F00016,T0048
F00017,T0001
F00017,T0039
F00017,T0053
F00018,T0009
F00019,T0011
F00020,T0011
F00021,TA15
F00021,TA15
F00021,TA05
F00021,TA06
F00021,TA07
F00021,TA08
F00021,TA09
F00021,TA10
F00021,TA11
F00023,T0011
F00025,TA01
F00025,TA02
F00028,T0025
F00029,TA01
F00029,T0006
F00029,T0019
F00029,T0050
F00029,T0056
F00030,TA15
F00030,TA15
F00030,TA05
F00030,TA06
F00030,TA08
F00030,TA09
F00030,TA10
F00031,TA01
F00031,T0019
F00031,T0056
F00032,DUPLICATE
F00033,T0013
F00034,T0049
F00035,TA01
F00035,T0006
F00035,T0019
F00035,T0050
F00035,T0056
F00036,T0020
F00037,TA01
F00038,T0010
F00038,T0039
F00038,T0043
F00038,T0057
F00038,T0061
F00039,T0024
F00040,T0024
F00041,T00029
F00042,T00029
F00043,T00030
F00044,All
F00045,All
F00046,TA08
F00051,T0009
F00051,T0045
F00052,All
F00053,T0049
F00053,T0050
F00053,T0052
F00053,T0053
F00053,T0054
F00053,T0055
F00053,T0056
F00058,TA07
F00058,TA09
F00058,TA10
F00058,T0007
F00058,T0009
F00058,T0011
F00058,T0014
F00058,T0017
F00058,T0018
F00058,T0045
F00059,All
F00060,T0039
F00061,All
F00062,TA09
F00062,T0007
F00062,T0011
F00064,T0011
F00078,All
F00079,T0029
F00079,T0047
F00079,T0049
F00079,T0054
F00079,T0055
F00079,T0060
F00080,T0029
F00081,T0049
F00081,T0050
F00081,T0052
F00081,T0053
F00081,T0054
F00081,T0055
F00081,T0056
F00083,T0012
F00083,T0021
F00093,T0011
F00094,T0013
F00094,T0008
