disarm_id,externalgroup_id,activity_id,summary
GC000001,G000001,,
GC000002,G000002,,
GC000003,G000003,,
GC000004,G000004,,
GC000005,G000005,F00095,
GC000006,G000006,,
GC000007,G000007,,
GC000008,G000008,,
GC000009,G000009,F00095,
GC000010,G000010,F00095,
GC000011,G000011,F00095,
GC000012,G000012,F00095,
GC000013,G000013,F00095,
GC000014,G000014,,
GC000015,G000015,,
GC000016,G000016,,
GC000017,G000017,F00095,
GC000018,G000018,C00205,
GC000019,G000019,C00205,
GC000020,G000020,,
GC000021,G000021,F00095,
GC000022,G000022,,
GC000023,G000023,,
GC000024,G000024,F00095,
GC000025,G000025,C00073,
GC000026,G000026,F00095,
GC000027,G000027,F00095,
GC000028,G000028,F00095,
GC000029,G000029,,
GC000030,G000030,,
GC000031,G000031,,
GC000032,G000032,F00095,
GC000033,G000033,,
GC000034,G000034,,
GC000035,G000035,C00205,
GC000036,G000036,,
GC000037,G000037,,
GC000038,G000038,,
GC000039,G000039,,
GC000040,G000040,,
GC000041,G000041,F00095,
GC000042,G000042,F00095,
GC000043,G000043,,
GC000044,G000044,,
GC000045,G000045,,
GC000046,G000046,,
GC000047,G000047,,
GC000048,G000048,,
GC000049,G000049,,
GC000050,G000050,C00073,
GC000051,G000051,C00073,
GC000052,G000052,C00205,
GC000053,G000053,,
GC000054,G000054,,
GC000055,G000055,,
GC000056,G000056,F00095,
GC000057,G000057,F00095,
GC000058,G000058,,
GC000059,G000059,,
GC000060,G000060,F00095,
GC000061,G000061,,
GC000062,G000062,,
GC000063,G000063,,
GC000064,G000064,,
GC000065,G000065,,
GC000066,G000066,,
GC000067,G000067,,
GC000068,G000068,,
GC000069,G000069,C00205,
GC000070,G000070,,
GC000071,G000071,,
GC000072,G000072,,
GC000073,G000073,,
GC000074,G000074,,
GC000075,G000075,F00095,
GC000076,G000076,,
GC000077,G000077,,
GC000078,G000078,,
GC000079,G000079,,
GC000080,G000080,,
GC000081,G000081,,
GC000082,G000082,,
GC000083,G000083,,
GC000084,G000084,,
GC000085,G000085,F00095,
GC000086,G000086,,
GC000087,G000087,C00205,
GC000088,G000088,,
GC000089,G000089,,
GC000090,G000090,,
GC000091,G000091,,
GC000092,G000092,,
GC000093,G000093,C00205,
GC000094,G000094,,
GC000095,G000095,,
GC000096,G000096,C00205,
GC000097,G000097,,
GC000098,G000098,,
GC000099,G000099,,
GC000100,G000100,,
GC000101,G000101,C00205,
GC000102,G000102,,
GC000103,G000103,,
GC000104,G000104,,
GC000105,G000105,F00095,
GC000106,G000106,,
GC000107,G000107,F00095,
GC000108,G000108,F00095,
GC000109,G000109,,
GC000110,G000110,,
GC000111,G000111,F00095,
GC000112,G000112,C00073,
GC000113,G000113,F00095,
GC000114,G000114,,
GC000115,G000115,F00095,
GC000116,G000116,,
GC000117,G000117,C00073,
GC000118,G000118,,
GC000119,G000119,,
GC000120,G000120,,
GC000121,G000121,,
GC000122,G000122,C00205,
GC000123,G000123,,
GC000124,G000124,C00205,
GC000125,G000125,,
GC000126,G000126,,
GC000127,G000127,,
GC000128,G000128,C00073,
GC000129,G000129,F00095,
GC000130,G000130,,
GC000131,G000131,F00095,
GC000132,G000132,,
GC000133,G000133,,
GC000134,G000134,,
GC000135,G000135,,
GC000136,G000136,,
GC000137,G000137,,
GC000138,G000138,F00095,
GC000139,G000139,,
GC000140,G000140,F00095,
GC000141,G000141,F00095,
GC000142,G000142,F00095,
GC000143,G000143,,
GC000144,G000144,F00095,
GC000145,G000145,,
GC000146,G000146,,
GC000147,G000147,F00095,
GC000148,G000148,,
GC000149,G000149,,
GC000150,G000150,,
GC000151,G000151,,
GC000152,G000152,,
GC000153,G000153,,
GC000154,G000154,,
GC000155,G000155,,
GC000156,G000156,,
GC000157,G000157,,
GC000158,G000158,,
GC000159,G000159,,
GC000160,G000160,,
GC000161,G000161,C00188,
GC000162,G000162,,
GC000163,G000163,,
GC000164,G000164,,
GC000165,G000165,,
GC000166,G000166,F00095,
GC000167,G000167,,
GC000168,G000168,,
GC000169,G000169,,
GC000170,G000170,,
GC000171,G000171,,
GC000172,G000172,,
GC000173,G000173,,
GC000174,G000174,,
GC000175,G000175,F00095,
GC000176,G000176,,
GC000177,G000177,,
GC000178,G000178,,
GC000179,G000179,,
GC000180,G000180,,
GC000181,G000181,,
GC000182,G000182,,
GC000183,G000183,,
GC000184,G000184,,
GC000185,G000185,F00095,
GC000186,G000186,,
GC000187,G000187,,
GC000188,G000188,,
GC000189,G000189,F00095,
GC000190,G000190,F00095,
GC000191,G000191,,
GC000192,G000192,,
GC000193,G000193,F00095,
GC000194,G000194,F00095,
GC000195,G000195,,
GC000196,G000196,,
GC000197,G000197,,
GC000198,G000198,C00205,
GC000199,G000199,,
GC000200,G000200,,
GC000201,G000201,,
GC000202,G000202,F00095,
GC000203,G000203,C00073,
GC000204,G000204,C00011,
GC000205,G000205,F00095,
GC000206,G000206,,
GC000207,G000207,,
GC000208,G000208,,
GC000209,G000209,,
GC000210,G000210,C00073,
GC000211,G000211,F00095,
GC000212,G000212,,
GC000213,G000213,C00205,
GC000214,G000214,,
GC000215,G000215,F00095,
GC000216,G000216,,
GC000217,G000217,,
GC000218,G000218,,
GC000219,G000219,F00095,
GC000220,G000220,,
GC000221,G000221,,
GC000222,G000222,,
GC000223,G000223,F00095,
GC000224,G000224,,
GC000225,G000225,F00095,
GC000226,G000226,,
GC000227,G000227,F00095,
GC000228,G000228,,
GC000229,G000229,,
GC000230,G000230,,
GC000231,G000231,,
GC000232,G000232,,
GC000233,G000233,,
GC000234,G000234,,
GC000235,G000235,,
GC000236,G000236,,
GC000237,G000237,,
GC000238,G000238,,
GC000239,G000239,,
GC000240,G000240,,
GC000241,G000241,,
GC000242,G000242,,
GC000243,G000243,F00095,
GC000244,G000244,,
GC000245,G000245,,
GC000246,G000246,,
GC000247,G000247,,
GC000248,G000248,,
GC000249,G000249,,
GC000250,G000250,,
GC000251,G000251,F00095,
GC000252,G000252,,
GC000253,G000253,,
GC000254,G000254,,
GC000255,G000255,F00095,
GC000256,G000256,,
GC000257,G000257,F00095,
GC000258,G000258,F00095,
GC000259,G000259,F00095,
GC000260,G000260,F00095,
GC000261,G000261,F00095,
GC000262,G000262,F00095,
GC000263,G000263,,
GC000264,G000264,F00095,
GC000265,G000265,,
GC000266,G000266,C00011,
GC000267,G000267,F00095,
GC000268,G000268,F00095,
GC000269,G000269,F00095,
GC000270,G000270,,
GC000271,G000271,,
GC000272,G000272,F00095,
GC000273,G000273,F00095,
GC000274,G000274,F00095,
GC000275,G000275,,
GC000276,G000276,,
GC000277,G000277,F00095,
GC000278,G000278,,
GC000279,G000279,,
GC000280,G000280,,
GC000281,G000281,,
GC000282,G000282,,
GC000283,G000283,,
GC000284,G000284,,
GC000285,G000285,,
GC000286,G000286,,
GC000287,G000287,F00095,
GC000288,G000288,F00095,
GC000289,G000289,,
GC000290,G000290,,
GC000291,G000291,,
GC000292,G000292,,
GC000293,G000293,,
GC000294,G000294,,
GC000295,G000295,,
GC000296,G000296,,
GC000297,G000297,,
GC000298,G000298,,
GC000299,G000299,F00095,
GC000300,G000300,,
GC000301,G000301,F00095,
GC000302,G000302,,
GC000303,G000303,,
GC000304,G000304,C00073,
GC000305,G000305,,
GC000306,G000306,,
GC000307,G000307,,
GC000308,G000308,,
GC000309,G000309,,
GC000310,G000310,C00205,
GC000311,G000311,,
GC000312,G000312,C00011,
GC000313,G000313,,
GC000314,G000314,,
GC000315,G000315,,
GC000316,G000316,,
GC000317,G000317,F00095,
GC000318,G000318,,
GC000319,G000319,,
GC000320,G000320,F00095,
GC000321,G000321,,
GC000322,G000322,F00095,
GC000323,G000323,C00011,
GC000324,G000324,,
GC000325,G000325,,
GC000326,G000326,F00095,
GC000327,G000327,,
GC000328,G000328,,
GC000329,G000329,,
GC000330,G000330,,
GC000331,G000331,F00095,
GC000332,G000332,,
GC000333,G000333,,
GC000334,G000334,,
GC000335,G000335,,
GC000336,G000336,,
GC000337,G000337,,
GC000338,G000338,,
GC000339,G000339,,
GC000340,G000340,,
GC000341,G000341,,
GC000342,G000342,,
GC000343,G000343,,
GC000344,G000344,,
GC000345,G000345,,
GC000346,G000346,,
GC000347,G000347,,
GC000348,G000348,,
GC000349,G000349,,
GC000350,G000350,,
GC000351,G000351,,
GC000352,G000352,F00095,
GC000353,G000353,F00095,
GC000354,G000354,,
GC000355,G000355,F00095,
GC000356,G000356,,
GC000357,G000357,,
GC000358,G000358,,
GC000359,G000359,F00095,
GC000360,G000360,,
GC000361,G000361,,
GC000362,G000362,,
GC000363,G000363,,
GC000364,G000364,,
GC000365,G000365,,
GC000366,G000366,,
GC000367,G000367,,
GC000368,G000368,F00095,
GC000369,G000369,F00095,
GC000370,G000370,,
GC000371,G000371,,
GC000372,G000372,,
GC000373,G000373,,
GC000374,G000374,,
