disarm_id,name,objecttype,summary,year_started,attributions_seen,found_in_country,urls,notes,when_added,found_via,longname
I00001,Blacktivists facebook group,incident,Internet Research Agency created fake @blacktivists facebook group and twitter account. ,2016,Russia,USA,https://money.cnn.com/2017/09/28/media/blacktivist-russia-facebook-twitter/index.html,,2019-02-24,,I00001 - Blacktivists facebook group
I00002,#VaccinateUS,campaign,use both pro- and anti- topic messaging to create an artificial argument online. ,2014,Russia,World,https://www.washingtonpost.com/science/2018/08/23/russian-trolls-twitter-bots-exploit-vaccine-controversy/,,2019-02-24,,I00002 - #VaccinateUS
I00003,Beyonce protest rallies,incident,use both pro- and anti- topic messaging to create an artificial argument in real life. ,2016,Russia,USA,https://www.theguardian.com/us-news/2018/may/10/russia-facebook-ads-us-elections-congress,,2019-02-24,,I00003 - Beyonce protest rallies
I00004,#Macrongate,incident,amplified document dump failed because France was prepared for it.,2017,Russia,France,http://www.niemanlab.org/2018/09/how-france-beat-back-information-manipulation-and-how-other-democracies-might-do-the-same/,,2019-02-24,,I00004 - #Macrongate
I00005,Brexit vote,campaign,"In early 2014, then UK PM David Cameron outlined the changes he aimed to bring about in the EU and in the UK's relationship with it. These were: additional immigration controls, especially for citizens of new EU member states; tougher immigration rules for present EU citizens; new powers for national parliaments collectively to veto proposed EU laws; new free-trade agreements and a reduction in bureaucracy for businesses; a lessening of the influence of the European Court of Human Rights on British police and courts; more power for individual member states, and less for the central EU; and abandonment of the EU notion of ""ever closer union"".He intended to bring these about during a series of negotiations with other EU leaders and then, if re-elected, to announce a referendum.
European Union Referendum Act was passed by the Parliament of the United Kingdom. It extended to include and take legislative effect in Gibraltar,and received royal assent on 17 December 2015.

Conservative-led Department for Culture, Media and Sport select committee concluded (2018) Russia engaged in ‘unconventional warfare’ during the Brexit campaign. This included ‘156,252 Russian accounts tweeting about #Brexit’ and posting ‘over 45,000 Brexit messages in the last 48 hours of the campaign.’ As it said, Kremlin-controlled media, ‘RT and Sputnik had more reach on Twitter for anti-EU content than either Vote Leave or Leave.EU, during the referendum campaign’.

The report by Democrats on the Senate foreign relations committee, titled Putin’s asymmetric assault on democracy in Russia and Europe: implications for US national security, pinpoints the way in which UK campaign finance laws do not require disclosure of political donations if they are from “the beneficial owners of non-British companies that are incorporated in the EU and carry out business in the UK”.

The senators point out that Ukip and its then-leader, Nigel Farage, did not just fan anti-EU sentiment but also “criticised European sanctions on Russia, and provided flattering assessments of Russian President Putin”.

The report adds that although officially the Russian government asserted its neutrality on Brexit, its English-language media outlets RT and Sputnik covered the referendum campaign extensively and offered ‘’systematically one-sided coverage’’.",2016,Russia,UK,https://www.forbes.com/sites/emmawoollacott/2018/11/01/russian-trolls-used-islamophobia-to-whip-up-support-for-brexit/#1369afb665f2,,2019-02-24,,I00005 - Brexit vote
I00006,Columbian Chemicals,incident,Early Russian (IRA) “fake news” stories. Completely fabricated; very short lifespan. ,2014,Russia,USA,https://en.wikipedia.org/wiki/Columbian_Chemicals_Plant_explosion_hoax,,2019-02-24,,I00006 - Columbian Chemicals
I00007,Incirlik terrorists,incident,Fake story transmitted from Russian media to Trump campaign,2016,Russia,USA,https://www.politifact.com/truth-o-meter/statements/2016/aug/16/paul-manafort/trump-campaign-chair-misquotes-russian-media-makes/,,2019-02-24,,I00007 - Incirlik terrorists
I00008,Bujic,incident,,2017,Russia,Serbia,https://www.stopfake.org/en/vencislav-the-virgin-hostile-operation-by-vencislav-bujic-seas-foundation-and-its-network-of-collaborators/,Serbia pro-Kremlin disinfo campaign by Vencislav Bujic,2019-02-24,,I00008 - Bujic
I00009,PhilippinesExpert,incident,"President of the Philippine visited Moscow and forged ties on information strategy in 2017, and afterwards a series of disinformation campaign was noted in Philippine social media and mainstream media, mostly in favor of Philippine president and promoting Russian propaganda. Among this is the appearance of an unknown-before expert on global affairs who was cited frequently in Russian IRA-connected outlets. ",2017,Russia,Philippines,https://codastory.com/disinformation/how-a-little-known-pro-kremlin-analyst-became-a-philippine-expert-overnight/,Philippines Social Media: Russian Disinformation by fake “expert”,2019-02-24,,I00009 - PhilippinesExpert
I00010,ParklandTeens,incident,IRA trolls amplified the far right messaging around the attack. Most notably they amplified social media speculation that many of the teens involved were “crisis actors” nefariously injected into the conversation by outside actors with an anti-gun poltical agenda. Other amplifications included ongoing harassment of survivors and claims that the event is a hoax from the right; and fatalist cynicism about gun reform from the left.,2018,Unknown,USA,https://www.nytimes.com/2018/03/27/us/parkland-students-hogg-gonzalez.html,Parkland survivors,2019-02-01,,I00010 - ParklandTeens
I00011,CovingtonTeen,incident,,2019,Unknown,USA,https://www.wcpo.com/news/national/fact-check-viral-misinformation-about-covington-catholic-nathan-phillips-infects-the-internet,MAGA kid (Covington),2019-02-01,,I00011 - CovingtonTeen
I00012,ChinaSmog,incident,,2011,China,China,https://www.cjr.org/innovations/memes-pollution-censorship-china-beijing.php,"China smog (not an attack, but a counter to disinformation)",2019-02-24,,I00012 - ChinaSmog
I00013,FranceBlacktivists,incident,,2014,Russia,France,https://medium.com/dfrlab/trolltracker-glimpse-into-a-french-operation-f78dcae78924,France blacktivists,2019-02-24,,I00013 - FranceBlacktivists
I00014,GiletsJaunePileon,incident,,2018,Russia,France,https://www.wired.com/story/co-opting-french-unrest-spread-disinformation/,Russian pile-onto #GiletsJaune (and expansion to other countries),2019-02-24,,I00014 - GiletsJaunePileon
