P01,P01,P02,P02,P02,P03,P03,P03,P03,P04,P01,P02,P02,P02,P03,P03
TA01,TA02,TA05,TA06,TA07,TA08,TA09,TA10,TA11,TA12,TA13,TA14,TA15,TA16,TA17,TA18
T0073,T0002,T0016,T0015,T0029,T0020,T0114,T0017,T0059,T0132,T0072,T0003,T0007,T0009,T0049,T0047
T0074,T0066,T0018,T0019,T0043,T0039,T0114.001,T0017.001,T0060,T0132.001,T0072.001,T0004,T0010,T0009.001,T0049.001,T0048
,T0075,T0101,T0019.001,T0043.001,T0042,T0114.002,T0057,T0128,T0132.002,T0072.002,T0022,T0013,T0011,T0049.002,T0048.001
,T0075.001,T0102,T0019.002,T0043.002,T0044,T0115,T0057.001,T0128.001,T0132.003,T0072.003,T0022.001,T0014,T0097,T0049.003,T0048.002
,T0076,T0102.001,T0023,T0103,T0045,T0115.001,T0057.002,T0128.002,T0133,T0072.004,T0022.002,T0014.001,T0097.001,T0049.004,T0048.003
,T0077,T0102.002,T0023.001,T0103.001,T0046,T0115.002,T0061,T0128.003,T0133.001,T0072.005,T0040,T0014.002,T0098,T0049.005,T0048.004
,T0078,T0102.003,T0023.002,T0103.002,T0113,T0115.003,T0126,T0128.004,T0133.002,T0080,T0068,T0065,T0098.001,T0049.006,T0123
,T0079,,T0084,T0104,,T0116,T0126.001,T0128.005,T0133.003,T0080.001,T0082,T0090,T0098.002,T0049.007,T0123.001
,,,T0084.001,T0104.001,,T0116.001,T0126.002,T0129,T0133.004,T0080.002,T0083,T0090.001,T0099,T0118,T0123.002
,,,T0084.002,T0104.002,,T0117,T0127,T0129.001,T0133.005,T0080.003,,T0090.002,T0099.001,T0119,T0123.003
,,,T0084.003,T0104.003,,,T0127.001,T0129.002,T0134,T0080.004,,T0090.003,T0099.002,T0119.001,T0123.004
,,,T0084.004,T0104.004,,,T0127.002,T0129.003,T0134.001,T0080.005,,T0090.004,T0100,T0119.002,T0124
,,,T0085,T0104.005,,,,T0129.004,T0134.002,T0081,,T0091,T0100.001,T0119.003,T0124.001
,,,T0085.001,T0104.006,,,,T0129.005,,T0081.001,,T0091.001,T0100.002,T0120,T0124.002
,,,T0085.002,T0105,,,,T0129.006,,T0081.002,,T0091.002,T0100.003,T0120.001,T0124.003
,,,T0085.003,T0105.001,,,,T0129.007,,T0081.003,,T0091.003,,T0120.002,T0125
,,,T0086,T0105.002,,,,T0129.008,,T0081.004,,T0092,,T0121,
,,,T0086.001,T0105.003,,,,T0129.009,,T0081.005,,T0092.001,,T0121.001,
,,,T0086.002,T0106,,,,T0129.010,,T0081.006,,T0092.002,,T0122,
,,,T0086.003,T0106.001,,,,T0130,,T0081.007,,T0092.003,,,
,,,T0086.004,T0107,,,,T0130.001,,T0081.008,,T0093,,,
,,,T0087,T0108,,,,T0130.002,,,,T0093.001,,,
,,,T0087.001,T0109,,,,T0130.003,,,,T0093.002,,,
,,,T0087.002,T0110,,,,T0130.004,,,,T0094,,,
,,,T0088,T0111,,,,T0130.005,,,,T0094.001,,,
,,,T0088.001,T0111.001,,,,T0131,,,,T0094.002,,,
,,,T0088.002,T0111.002,,,,T0131.001,,,,T0095,,,
,,,T0089,T0111.003,,,,T0131.002,,,,T0096,,,
,,,T0089.001,T0112,,,,,,,,T0096.001,,,
,,,T0089.002,,,,,,,,,T0096.002,,,
,,,T0089.003,,,,,,,,,,,,
